DateTime,Temperature
2/3/2024 0:02,28.31
2/3/2024 0:07,28.31
2/3/2024 0:12,28.31
2/3/2024 0:17,28.35
2/3/2024 0:22,28.31
2/3/2024 0:27,28.31
2/3/2024 0:32,28.31
2/3/2024 0:37,28.31
2/3/2024 0:42,28.31
2/3/2024 0:47,28.31
2/3/2024 0:52,28.35
2/3/2024 0:57,28.31
2/3/2024 1:02,28.35
2/3/2024 1:07,28.31
2/3/2024 1:12,28.31
2/3/2024 1:17,28.27
2/3/2024 1:22,28.35
2/3/2024 1:27,28.31
2/3/2024 1:32,28.31
2/3/2024 1:37,28.31
2/3/2024 1:42,28.27
2/3/2024 1:47,28.31
2/3/2024 1:52,28.31
2/3/2024 1:57,28.27
2/3/2024 2:02,28.23
2/3/2024 2:07,28.27
2/3/2024 2:12,28.31
2/3/2024 2:17,28.27
2/3/2024 2:22,28.23
2/3/2024 2:27,28.23
2/3/2024 2:32,28.31
2/3/2024 2:37,28.27
2/3/2024 2:42,28.23
2/3/2024 2:47,28.27
2/3/2024 2:52,28.23
2/3/2024 2:57,28.23
2/3/2024 3:02,28.23
2/3/2024 3:07,28.31
2/3/2024 3:12,28.23
2/3/2024 3:17,28.18
2/3/2024 3:22,28.23
2/3/2024 3:27,28.18
2/3/2024 3:32,28.23
2/3/2024 3:37,28.14
2/3/2024 3:42,28.18
2/3/2024 3:47,28.14
2/3/2024 3:52,28.14
2/3/2024 3:57,28.14
2/3/2024 4:02,28.14
2/3/2024 4:07,28.1
2/3/2024 4:12,28.14
2/3/2024 4:17,28.14
2/3/2024 4:22,28.1
2/3/2024 4:27,28.14
2/3/2024 4:32,28.1
2/3/2024 4:37,28.05
2/3/2024 4:42,28.1
2/3/2024 4:47,28.05
2/3/2024 4:52,28.1
2/3/2024 4:57,28.05
2/3/2024 5:02,28.05
2/3/2024 5:07,28.05
2/3/2024 5:12,28.05
2/3/2024 5:17,28.05
2/3/2024 5:22,28.1
2/3/2024 5:27,28.05
2/3/2024 5:32,28.05
2/3/2024 5:37,28.05
2/3/2024 5:42,28.05
2/3/2024 5:47,28.1
2/3/2024 5:52,28.05
2/3/2024 5:57,28.1
2/3/2024 6:02,28.1
2/3/2024 6:07,28.1
2/3/2024 6:12,28.1
2/3/2024 6:17,28.14
2/3/2024 6:22,28.14
2/3/2024 6:27,28.18
2/3/2024 6:32,28.35
2/3/2024 6:37,28.48
2/3/2024 6:42,28.53
2/3/2024 6:47,28.65
2/3/2024 6:52,28.74
2/3/2024 6:57,28.83
2/3/2024 7:02,28.87
2/3/2024 7:07,28.95
2/3/2024 7:12,29.04
2/3/2024 7:17,29.13
2/3/2024 7:22,29.26
2/3/2024 7:27,29.3
2/3/2024 7:32,29.43
2/3/2024 7:37,29.51
2/3/2024 7:42,29.38
2/3/2024 7:47,29.6
2/3/2024 7:52,29.68
2/3/2024 7:57,29.56
2/3/2024 8:02,29.81
2/3/2024 8:07,29.98
2/3/2024 8:12,30.03
2/3/2024 8:17,30.07
2/3/2024 8:22,30.11
2/3/2024 8:27,30.2
2/3/2024 8:32,30.28
2/3/2024 8:37,30.33
2/3/2024 8:42,30.37
2/3/2024 8:47,30.5
2/3/2024 8:52,30.5
2/3/2024 8:57,30.59
2/3/2024 9:02,30.41
2/3/2024 9:07,30.63
2/3/2024 9:12,30.67
2/3/2024 9:17,30.67
2/3/2024 9:22,30.67
2/3/2024 9:27,30.71
2/3/2024 9:32,30.71
2/3/2024 9:37,30.67
2/3/2024 9:42,30.67
